,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106221447
1,Senegal,Netherlands,2,3,0.0,3.0,20221106221447
2,Qatar,Senegal,0,1,0.0,3.0,20221106221447
3,Netherlands,Ecuador,1,0,3.0,0.0,20221106221447
4,Ecuador,Senegal,3,2,3.0,0.0,20221106221447
5,Netherlands,Qatar,3,0,3.0,0.0,20221106221447
6,England,Iran,3,0,3.0,0.0,20221106221447
7,USA,Wales,1,1,1.0,1.0,20221106221447
8,Wales,Iran,3,1,3.0,0.0,20221106221447
9,England,USA,2,0,3.0,0.0,20221106221447
10,Iran,USA,1,1,1.0,1.0,20221106221447
11,Wales,England,0,0,1.0,1.0,20221106221447
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221106221447
13,Mexico,Poland,2,3,0.0,3.0,20221106221447
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106221447
15,Argentina,Mexico,0,0,1.0,1.0,20221106221447
16,Poland,Argentina,2,2,1.0,1.0,20221106221447
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106221447
18,Denmark,Tunisia,2,1,3.0,0.0,20221106221447
19,France,Australia,1,0,3.0,0.0,20221106221447
20,Tunisia,Australia,3,3,1.0,1.0,20221106221447
21,France,Denmark,1,2,0.0,3.0,20221106221447
22,Australia,Denmark,1,1,1.0,1.0,20221106221447
23,Tunisia,France,0,2,0.0,3.0,20221106221447
24,Germany,Japan,2,1,3.0,0.0,20221106221447
25,Spain,Costa Rica,2,0,3.0,0.0,20221106221447
26,Japan,Costa Rica,2,1,3.0,0.0,20221106221447
27,Spain,Germany,1,2,0.0,3.0,20221106221447
28,Costa Rica,Germany,0,2,0.0,3.0,20221106221447
29,Japan,Spain,0,1,0.0,3.0,20221106221447
30,Morocco,Croatia,0,2,0.0,3.0,20221106221447
31,Belgium,Canada,2,0,3.0,0.0,20221106221447
32,Belgium,Morocco,3,3,1.0,1.0,20221106221447
33,Croatia,Canada,1,0,3.0,0.0,20221106221447
34,Canada,Morocco,0,2,0.0,3.0,20221106221447
35,Croatia,Belgium,1,0,3.0,0.0,20221106221447
36,Switzerland,Cameroon,0,2,0.0,3.0,20221106221447
37,Brazil,Serbia,2,1,3.0,0.0,20221106221447
38,Cameroon,Serbia,1,1,1.0,1.0,20221106221447
39,Brazil,Switzerland,3,3,1.0,1.0,20221106221447
40,Cameroon,Brazil,1,2,0.0,3.0,20221106221447
41,Serbia,Switzerland,3,2,3.0,0.0,20221106221447
42,Uruguay,South Korea,3,3,1.0,1.0,20221106221447
43,Portugal,Ghana,3,0,3.0,0.0,20221106221447
44,South Korea,Ghana,1,1,1.0,1.0,20221106221447
45,Portugal,Uruguay,0,2,0.0,3.0,20221106221447
46,Ghana,Uruguay,0,1,0.0,3.0,20221106221447
47,South Korea,Portugal,3,2,3.0,0.0,20221106221447
