,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221107204400
1,Senegal,Netherlands,2,3,0.0,3.0,20221107204400
2,Qatar,Senegal,0,1,0.0,3.0,20221107204400
3,Netherlands,Ecuador,2,0,3.0,0.0,20221107204400
4,Ecuador,Senegal,2,3,0.0,3.0,20221107204400
5,Netherlands,Qatar,2,0,3.0,0.0,20221107204400
6,England,Iran,2,1,3.0,0.0,20221107204400
7,USA,Wales,3,1,3.0,0.0,20221107204400
8,Wales,Iran,1,1,1.0,1.0,20221107204400
9,England,USA,2,1,3.0,0.0,20221107204400
10,Iran,USA,0,2,0.0,3.0,20221107204400
11,Wales,England,2,2,1.0,1.0,20221107204400
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221107204400
13,Mexico,Poland,1,0,3.0,0.0,20221107204400
14,Poland,Saudi Arabia,0,0,1.0,1.0,20221107204400
15,Argentina,Mexico,0,0,1.0,1.0,20221107204400
16,Poland,Argentina,2,2,1.0,1.0,20221107204400
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221107204400
18,Denmark,Tunisia,3,0,3.0,0.0,20221107204400
19,France,Australia,3,0,3.0,0.0,20221107204400
20,Tunisia,Australia,3,3,1.0,1.0,20221107204400
21,France,Denmark,0,2,0.0,3.0,20221107204400
22,Australia,Denmark,1,1,1.0,1.0,20221107204400
23,Tunisia,France,0,2,0.0,3.0,20221107204400
24,Germany,Japan,3,2,3.0,0.0,20221107204400
25,Spain,Costa Rica,2,0,3.0,0.0,20221107204400
26,Japan,Costa Rica,2,1,3.0,0.0,20221107204400
27,Spain,Germany,1,1,1.0,1.0,20221107204400
28,Costa Rica,Germany,0,1,0.0,3.0,20221107204400
29,Japan,Spain,0,1,0.0,3.0,20221107204400
30,Morocco,Croatia,0,2,0.0,3.0,20221107204400
31,Belgium,Canada,3,1,3.0,0.0,20221107204400
32,Belgium,Morocco,3,4,0.0,3.0,20221107204400
33,Croatia,Canada,1,0,3.0,0.0,20221107204400
34,Canada,Morocco,0,2,0.0,3.0,20221107204400
35,Croatia,Belgium,1,0,3.0,0.0,20221107204400
36,Switzerland,Cameroon,3,0,3.0,0.0,20221107204400
37,Brazil,Serbia,2,1,3.0,0.0,20221107204400
38,Cameroon,Serbia,0,1,0.0,3.0,20221107204400
39,Brazil,Switzerland,3,3,1.0,1.0,20221107204400
40,Cameroon,Brazil,1,2,0.0,3.0,20221107204400
41,Serbia,Switzerland,3,2,3.0,0.0,20221107204400
42,Uruguay,South Korea,3,3,1.0,1.0,20221107204400
43,Portugal,Ghana,3,0,3.0,0.0,20221107204400
44,South Korea,Ghana,0,0,1.0,1.0,20221107204400
45,Portugal,Uruguay,0,1,0.0,3.0,20221107204400
46,Ghana,Uruguay,0,2,0.0,3.0,20221107204400
47,South Korea,Portugal,3,2,3.0,0.0,20221107204400
