,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106221724
1,Senegal,Netherlands,2,3,0.0,3.0,20221106221724
2,Qatar,Senegal,1,0,3.0,0.0,20221106221724
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106221724
4,Ecuador,Senegal,3,2,3.0,0.0,20221106221724
5,Netherlands,Qatar,3,0,3.0,0.0,20221106221724
6,England,Iran,0,1,0.0,3.0,20221106221724
7,USA,Wales,4,0,3.0,0.0,20221106221724
8,Wales,Iran,1,0,3.0,0.0,20221106221724
9,England,USA,2,0,3.0,0.0,20221106221724
10,Iran,USA,1,0,3.0,0.0,20221106221724
11,Wales,England,0,0,1.0,1.0,20221106221724
12,Argentina,Saudi Arabia,1,0,3.0,0.0,20221106221724
13,Mexico,Poland,4,0,3.0,0.0,20221106221724
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106221724
15,Argentina,Mexico,0,0,1.0,1.0,20221106221724
16,Poland,Argentina,0,0,1.0,1.0,20221106221724
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106221724
18,Denmark,Tunisia,1,0,3.0,0.0,20221106221724
19,France,Australia,2,1,3.0,0.0,20221106221724
20,Tunisia,Australia,3,3,1.0,1.0,20221106221724
21,France,Denmark,1,0,3.0,0.0,20221106221724
22,Australia,Denmark,1,1,1.0,1.0,20221106221724
23,Tunisia,France,0,4,0.0,3.0,20221106221724
24,Germany,Japan,1,0,3.0,0.0,20221106221724
25,Spain,Costa Rica,2,0,3.0,0.0,20221106221724
26,Japan,Costa Rica,2,2,1.0,1.0,20221106221724
27,Spain,Germany,1,0,3.0,0.0,20221106221724
28,Costa Rica,Germany,0,4,0.0,3.0,20221106221724
29,Japan,Spain,1,4,0.0,3.0,20221106221724
30,Morocco,Croatia,0,2,0.0,3.0,20221106221724
31,Belgium,Canada,4,2,3.0,0.0,20221106221724
32,Belgium,Morocco,3,3,1.0,1.0,20221106221724
33,Croatia,Canada,2,1,3.0,0.0,20221106221724
34,Canada,Morocco,0,2,0.0,3.0,20221106221724
35,Croatia,Belgium,1,0,3.0,0.0,20221106221724
36,Switzerland,Cameroon,0,1,0.0,3.0,20221106221724
37,Brazil,Serbia,2,1,3.0,0.0,20221106221724
38,Cameroon,Serbia,2,2,1.0,1.0,20221106221724
39,Brazil,Switzerland,3,3,1.0,1.0,20221106221724
40,Cameroon,Brazil,1,2,0.0,3.0,20221106221724
41,Serbia,Switzerland,3,2,3.0,0.0,20221106221724
42,Uruguay,South Korea,3,3,1.0,1.0,20221106221724
43,Portugal,Ghana,3,0,3.0,0.0,20221106221724
44,South Korea,Ghana,3,0,3.0,0.0,20221106221724
45,Portugal,Uruguay,1,0,3.0,0.0,20221106221724
46,Ghana,Uruguay,0,1,0.0,3.0,20221106221724
47,South Korea,Portugal,3,2,3.0,0.0,20221106221724
