,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106212531
1,Senegal,Netherlands,0,2,0.0,3.0,20221106212531
2,Qatar,Senegal,0,2,0.0,3.0,20221106212531
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106212531
4,Ecuador,Senegal,1,2,0.0,3.0,20221106212531
5,Netherlands,Qatar,5,0,3.0,0.0,20221106212531
6,England,Iran,2,0,3.0,0.0,20221106212531
7,USA,Wales,0,1,0.0,3.0,20221106212531
8,Wales,Iran,0,2,0.0,3.0,20221106212531
9,England,USA,1,0,3.0,0.0,20221106212531
10,Iran,USA,0,2,0.0,3.0,20221106212531
11,Wales,England,2,2,1.0,1.0,20221106212531
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106212531
13,Mexico,Poland,1,2,0.0,3.0,20221106212531
14,Poland,Saudi Arabia,2,2,1.0,1.0,20221106212531
15,Argentina,Mexico,0,0,1.0,1.0,20221106212531
16,Poland,Argentina,2,2,1.0,1.0,20221106212531
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106212531
18,Denmark,Tunisia,3,3,1.0,1.0,20221106212531
19,France,Australia,2,0,3.0,0.0,20221106212531
20,Tunisia,Australia,2,3,0.0,3.0,20221106212531
21,France,Denmark,1,1,1.0,1.0,20221106212531
22,Australia,Denmark,0,2,0.0,3.0,20221106212531
23,Tunisia,France,0,2,0.0,3.0,20221106212531
24,Germany,Japan,2,1,3.0,0.0,20221106212531
25,Spain,Costa Rica,1,0,3.0,0.0,20221106212531
26,Japan,Costa Rica,2,1,3.0,0.0,20221106212531
27,Spain,Germany,1,1,1.0,1.0,20221106212531
28,Costa Rica,Germany,0,1,0.0,3.0,20221106212531
29,Japan,Spain,0,1,0.0,3.0,20221106212531
30,Morocco,Croatia,0,2,0.0,3.0,20221106212531
31,Belgium,Canada,1,0,3.0,0.0,20221106212531
32,Belgium,Morocco,2,0,3.0,0.0,20221106212531
33,Croatia,Canada,1,0,3.0,0.0,20221106212531
34,Canada,Morocco,0,2,0.0,3.0,20221106212531
35,Croatia,Belgium,1,0,3.0,0.0,20221106212531
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106212531
37,Brazil,Serbia,0,2,0.0,3.0,20221106212531
38,Cameroon,Serbia,1,3,0.0,3.0,20221106212531
39,Brazil,Switzerland,3,4,0.0,3.0,20221106212531
40,Cameroon,Brazil,1,2,0.0,3.0,20221106212531
41,Serbia,Switzerland,3,2,3.0,0.0,20221106212531
42,Uruguay,South Korea,3,3,1.0,1.0,20221106212531
43,Portugal,Ghana,5,1,3.0,0.0,20221106212531
44,South Korea,Ghana,0,0,1.0,1.0,20221106212531
45,Portugal,Uruguay,1,3,0.0,3.0,20221106212531
46,Ghana,Uruguay,0,2,0.0,3.0,20221106212531
47,South Korea,Portugal,3,2,3.0,0.0,20221106212531
