,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106220135
1,Senegal,Netherlands,0,2,0.0,3.0,20221106220135
2,Qatar,Senegal,0,0,1.0,1.0,20221106220135
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106220135
4,Ecuador,Senegal,1,2,0.0,3.0,20221106220135
5,Netherlands,Qatar,5,0,3.0,0.0,20221106220135
6,England,Iran,0,2,0.0,3.0,20221106220135
7,USA,Wales,2,2,1.0,1.0,20221106220135
8,Wales,Iran,0,2,0.0,3.0,20221106220135
9,England,USA,2,1,3.0,0.0,20221106220135
10,Iran,USA,0,2,0.0,3.0,20221106220135
11,Wales,England,2,2,1.0,1.0,20221106220135
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106220135
13,Mexico,Poland,3,1,3.0,0.0,20221106220135
14,Poland,Saudi Arabia,4,0,3.0,0.0,20221106220135
15,Argentina,Mexico,0,0,1.0,1.0,20221106220135
16,Poland,Argentina,1,2,0.0,3.0,20221106220135
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106220135
18,Denmark,Tunisia,3,1,3.0,0.0,20221106220135
19,France,Australia,5,1,3.0,0.0,20221106220135
20,Tunisia,Australia,1,2,0.0,3.0,20221106220135
21,France,Denmark,2,2,1.0,1.0,20221106220135
22,Australia,Denmark,0,0,1.0,1.0,20221106220135
23,Tunisia,France,0,3,0.0,3.0,20221106220135
24,Germany,Japan,2,1,3.0,0.0,20221106220135
25,Spain,Costa Rica,1,0,3.0,0.0,20221106220135
26,Japan,Costa Rica,2,1,3.0,0.0,20221106220135
27,Spain,Germany,1,1,1.0,1.0,20221106220135
28,Costa Rica,Germany,1,3,0.0,3.0,20221106220135
29,Japan,Spain,0,1,0.0,3.0,20221106220135
30,Morocco,Croatia,0,2,0.0,3.0,20221106220135
31,Belgium,Canada,1,0,3.0,0.0,20221106220135
32,Belgium,Morocco,2,0,3.0,0.0,20221106220135
33,Croatia,Canada,1,0,3.0,0.0,20221106220135
34,Canada,Morocco,0,2,0.0,3.0,20221106220135
35,Croatia,Belgium,1,0,3.0,0.0,20221106220135
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106220135
37,Brazil,Serbia,0,2,0.0,3.0,20221106220135
38,Cameroon,Serbia,1,3,0.0,3.0,20221106220135
39,Brazil,Switzerland,0,2,0.0,3.0,20221106220135
40,Cameroon,Brazil,1,2,0.0,3.0,20221106220135
41,Serbia,Switzerland,2,3,0.0,3.0,20221106220135
42,Uruguay,South Korea,0,2,0.0,3.0,20221106220135
43,Portugal,Ghana,5,1,3.0,0.0,20221106220135
44,South Korea,Ghana,0,0,1.0,1.0,20221106220135
45,Portugal,Uruguay,0,1,0.0,3.0,20221106220135
46,Ghana,Uruguay,0,2,0.0,3.0,20221106220135
47,South Korea,Portugal,3,2,3.0,0.0,20221106220135
