,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106211916
1,Senegal,Netherlands,2,3,0.0,3.0,20221106211916
2,Qatar,Senegal,0,1,0.0,3.0,20221106211916
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106211916
4,Ecuador,Senegal,2,3,0.0,3.0,20221106211916
5,Netherlands,Qatar,2,0,3.0,0.0,20221106211916
6,England,Iran,2,1,3.0,0.0,20221106211916
7,USA,Wales,3,1,3.0,0.0,20221106211916
8,Wales,Iran,1,1,1.0,1.0,20221106211916
9,England,USA,2,1,3.0,0.0,20221106211916
10,Iran,USA,0,2,0.0,3.0,20221106211916
11,Wales,England,2,2,1.0,1.0,20221106211916
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221106211916
13,Mexico,Poland,1,0,3.0,0.0,20221106211916
14,Poland,Saudi Arabia,0,0,1.0,1.0,20221106211916
15,Argentina,Mexico,0,0,1.0,1.0,20221106211916
16,Poland,Argentina,2,2,1.0,1.0,20221106211916
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106211916
18,Denmark,Tunisia,3,0,3.0,0.0,20221106211916
19,France,Australia,3,0,3.0,0.0,20221106211916
20,Tunisia,Australia,3,3,1.0,1.0,20221106211916
21,France,Denmark,1,2,0.0,3.0,20221106211916
22,Australia,Denmark,1,1,1.0,1.0,20221106211916
23,Tunisia,France,0,2,0.0,3.0,20221106211916
24,Germany,Japan,2,1,3.0,0.0,20221106211916
25,Spain,Costa Rica,2,0,3.0,0.0,20221106211916
26,Japan,Costa Rica,2,1,3.0,0.0,20221106211916
27,Spain,Germany,1,1,1.0,1.0,20221106211916
28,Costa Rica,Germany,0,1,0.0,3.0,20221106211916
29,Japan,Spain,0,1,0.0,3.0,20221106211916
30,Morocco,Croatia,0,2,0.0,3.0,20221106211916
31,Belgium,Canada,3,1,3.0,0.0,20221106211916
32,Belgium,Morocco,3,4,0.0,3.0,20221106211916
33,Croatia,Canada,1,0,3.0,0.0,20221106211916
34,Canada,Morocco,0,2,0.0,3.0,20221106211916
35,Croatia,Belgium,1,0,3.0,0.0,20221106211916
36,Switzerland,Cameroon,3,0,3.0,0.0,20221106211916
37,Brazil,Serbia,2,1,3.0,0.0,20221106211916
38,Cameroon,Serbia,2,0,3.0,0.0,20221106211916
39,Brazil,Switzerland,3,3,1.0,1.0,20221106211916
40,Cameroon,Brazil,1,2,0.0,3.0,20221106211916
41,Serbia,Switzerland,3,2,3.0,0.0,20221106211916
42,Uruguay,South Korea,2,1,3.0,0.0,20221106211916
43,Portugal,Ghana,3,0,3.0,0.0,20221106211916
44,South Korea,Ghana,0,0,1.0,1.0,20221106211916
45,Portugal,Uruguay,0,1,0.0,3.0,20221106211916
46,Ghana,Uruguay,1,0,3.0,0.0,20221106211916
47,South Korea,Portugal,3,2,3.0,0.0,20221106211916
