,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106221206
1,Senegal,Netherlands,2,3,0.0,3.0,20221106221206
2,Qatar,Senegal,0,1,0.0,3.0,20221106221206
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106221206
4,Ecuador,Senegal,3,2,3.0,0.0,20221106221206
5,Netherlands,Qatar,2,0,3.0,0.0,20221106221206
6,England,Iran,2,1,3.0,0.0,20221106221206
7,USA,Wales,2,2,1.0,1.0,20221106221206
8,Wales,Iran,1,1,1.0,1.0,20221106221206
9,England,USA,2,0,3.0,0.0,20221106221206
10,Iran,USA,0,2,0.0,3.0,20221106221206
11,Wales,England,2,2,1.0,1.0,20221106221206
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221106221206
13,Mexico,Poland,0,1,0.0,3.0,20221106221206
14,Poland,Saudi Arabia,0,0,1.0,1.0,20221106221206
15,Argentina,Mexico,0,0,1.0,1.0,20221106221206
16,Poland,Argentina,2,2,1.0,1.0,20221106221206
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106221206
18,Denmark,Tunisia,2,1,3.0,0.0,20221106221206
19,France,Australia,3,0,3.0,0.0,20221106221206
20,Tunisia,Australia,3,3,1.0,1.0,20221106221206
21,France,Denmark,1,2,0.0,3.0,20221106221206
22,Australia,Denmark,1,1,1.0,1.0,20221106221206
23,Tunisia,France,0,2,0.0,3.0,20221106221206
24,Germany,Japan,2,1,3.0,0.0,20221106221206
25,Spain,Costa Rica,2,0,3.0,0.0,20221106221206
26,Japan,Costa Rica,2,1,3.0,0.0,20221106221206
27,Spain,Germany,1,2,0.0,3.0,20221106221206
28,Costa Rica,Germany,0,2,0.0,3.0,20221106221206
29,Japan,Spain,0,1,0.0,3.0,20221106221206
30,Morocco,Croatia,0,2,0.0,3.0,20221106221206
31,Belgium,Canada,3,1,3.0,0.0,20221106221206
32,Belgium,Morocco,3,3,1.0,1.0,20221106221206
33,Croatia,Canada,1,0,3.0,0.0,20221106221206
34,Canada,Morocco,0,2,0.0,3.0,20221106221206
35,Croatia,Belgium,1,0,3.0,0.0,20221106221206
36,Switzerland,Cameroon,2,1,3.0,0.0,20221106221206
37,Brazil,Serbia,2,1,3.0,0.0,20221106221206
38,Cameroon,Serbia,2,0,3.0,0.0,20221106221206
39,Brazil,Switzerland,3,3,1.0,1.0,20221106221206
40,Cameroon,Brazil,1,2,0.0,3.0,20221106221206
41,Serbia,Switzerland,3,2,3.0,0.0,20221106221206
42,Uruguay,South Korea,3,3,1.0,1.0,20221106221206
43,Portugal,Ghana,3,0,3.0,0.0,20221106221206
44,South Korea,Ghana,1,1,1.0,1.0,20221106221206
45,Portugal,Uruguay,2,4,0.0,3.0,20221106221206
46,Ghana,Uruguay,1,0,3.0,0.0,20221106221206
47,South Korea,Portugal,3,2,3.0,0.0,20221106221206
