,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106221301
1,Senegal,Netherlands,2,3,0.0,3.0,20221106221301
2,Qatar,Senegal,1,0,3.0,0.0,20221106221301
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106221301
4,Ecuador,Senegal,3,2,3.0,0.0,20221106221301
5,Netherlands,Qatar,3,0,3.0,0.0,20221106221301
6,England,Iran,0,1,0.0,3.0,20221106221301
7,USA,Wales,4,0,3.0,0.0,20221106221301
8,Wales,Iran,1,0,3.0,0.0,20221106221301
9,England,USA,2,0,3.0,0.0,20221106221301
10,Iran,USA,1,0,3.0,0.0,20221106221301
11,Wales,England,0,0,1.0,1.0,20221106221301
12,Argentina,Saudi Arabia,0,1,0.0,3.0,20221106221301
13,Mexico,Poland,4,0,3.0,0.0,20221106221301
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106221301
15,Argentina,Mexico,0,0,1.0,1.0,20221106221301
16,Poland,Argentina,0,0,1.0,1.0,20221106221301
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106221301
18,Denmark,Tunisia,1,0,3.0,0.0,20221106221301
19,France,Australia,2,1,3.0,0.0,20221106221301
20,Tunisia,Australia,3,3,1.0,1.0,20221106221301
21,France,Denmark,1,0,3.0,0.0,20221106221301
22,Australia,Denmark,1,1,1.0,1.0,20221106221301
23,Tunisia,France,0,4,0.0,3.0,20221106221301
24,Germany,Japan,1,0,3.0,0.0,20221106221301
25,Spain,Costa Rica,2,0,3.0,0.0,20221106221301
26,Japan,Costa Rica,2,2,1.0,1.0,20221106221301
27,Spain,Germany,1,0,3.0,0.0,20221106221301
28,Costa Rica,Germany,0,4,0.0,3.0,20221106221301
29,Japan,Spain,1,4,0.0,3.0,20221106221301
30,Morocco,Croatia,0,2,0.0,3.0,20221106221301
31,Belgium,Canada,4,2,3.0,0.0,20221106221301
32,Belgium,Morocco,3,3,1.0,1.0,20221106221301
33,Croatia,Canada,2,1,3.0,0.0,20221106221301
34,Canada,Morocco,0,2,0.0,3.0,20221106221301
35,Croatia,Belgium,1,0,3.0,0.0,20221106221301
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106221301
37,Brazil,Serbia,2,1,3.0,0.0,20221106221301
38,Cameroon,Serbia,2,2,1.0,1.0,20221106221301
39,Brazil,Switzerland,3,3,1.0,1.0,20221106221301
40,Cameroon,Brazil,1,2,0.0,3.0,20221106221301
41,Serbia,Switzerland,3,2,3.0,0.0,20221106221301
42,Uruguay,South Korea,0,1,0.0,3.0,20221106221301
43,Portugal,Ghana,3,0,3.0,0.0,20221106221301
44,South Korea,Ghana,3,0,3.0,0.0,20221106221301
45,Portugal,Uruguay,1,0,3.0,0.0,20221106221301
46,Ghana,Uruguay,0,1,0.0,3.0,20221106221301
47,South Korea,Portugal,3,2,3.0,0.0,20221106221301
