,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106214911
1,Senegal,Netherlands,2,3,0.0,3.0,20221106214911
2,Qatar,Senegal,0,1,0.0,3.0,20221106214911
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106214911
4,Ecuador,Senegal,2,3,0.0,3.0,20221106214911
5,Netherlands,Qatar,2,0,3.0,0.0,20221106214911
6,England,Iran,2,1,3.0,0.0,20221106214911
7,USA,Wales,3,1,3.0,0.0,20221106214911
8,Wales,Iran,1,1,1.0,1.0,20221106214911
9,England,USA,2,1,3.0,0.0,20221106214911
10,Iran,USA,0,2,0.0,3.0,20221106214911
11,Wales,England,2,2,1.0,1.0,20221106214911
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221106214911
13,Mexico,Poland,1,0,3.0,0.0,20221106214911
14,Poland,Saudi Arabia,0,0,1.0,1.0,20221106214911
15,Argentina,Mexico,0,0,1.0,1.0,20221106214911
16,Poland,Argentina,2,2,1.0,1.0,20221106214911
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106214911
18,Denmark,Tunisia,2,1,3.0,0.0,20221106214911
19,France,Australia,3,0,3.0,0.0,20221106214911
20,Tunisia,Australia,3,3,1.0,1.0,20221106214911
21,France,Denmark,1,2,0.0,3.0,20221106214911
22,Australia,Denmark,1,1,1.0,1.0,20221106214911
23,Tunisia,France,0,2,0.0,3.0,20221106214911
24,Germany,Japan,3,3,1.0,1.0,20221106214911
25,Spain,Costa Rica,2,0,3.0,0.0,20221106214911
26,Japan,Costa Rica,2,1,3.0,0.0,20221106214911
27,Spain,Germany,1,1,1.0,1.0,20221106214911
28,Costa Rica,Germany,0,1,0.0,3.0,20221106214911
29,Japan,Spain,0,1,0.0,3.0,20221106214911
30,Morocco,Croatia,0,2,0.0,3.0,20221106214911
31,Belgium,Canada,3,1,3.0,0.0,20221106214911
32,Belgium,Morocco,3,4,0.0,3.0,20221106214911
33,Croatia,Canada,1,0,3.0,0.0,20221106214911
34,Canada,Morocco,0,2,0.0,3.0,20221106214911
35,Croatia,Belgium,1,0,3.0,0.0,20221106214911
36,Switzerland,Cameroon,3,0,3.0,0.0,20221106214911
37,Brazil,Serbia,2,1,3.0,0.0,20221106214911
38,Cameroon,Serbia,2,0,3.0,0.0,20221106214911
39,Brazil,Switzerland,3,3,1.0,1.0,20221106214911
40,Cameroon,Brazil,1,2,0.0,3.0,20221106214911
41,Serbia,Switzerland,3,2,3.0,0.0,20221106214911
42,Uruguay,South Korea,3,3,1.0,1.0,20221106214911
43,Portugal,Ghana,3,0,3.0,0.0,20221106214911
44,South Korea,Ghana,0,0,1.0,1.0,20221106214911
45,Portugal,Uruguay,0,1,0.0,3.0,20221106214911
46,Ghana,Uruguay,1,0,3.0,0.0,20221106214911
47,South Korea,Portugal,3,2,3.0,0.0,20221106214911
