,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106213131
1,Senegal,Netherlands,0,2,0.0,3.0,20221106213131
2,Qatar,Senegal,0,0,1.0,1.0,20221106213131
3,Netherlands,Ecuador,0,0,1.0,1.0,20221106213131
4,Ecuador,Senegal,1,2,0.0,3.0,20221106213131
5,Netherlands,Qatar,2,1,3.0,0.0,20221106213131
6,England,Iran,0,2,0.0,3.0,20221106213131
7,USA,Wales,2,2,1.0,1.0,20221106213131
8,Wales,Iran,0,2,0.0,3.0,20221106213131
9,England,USA,2,1,3.0,0.0,20221106213131
10,Iran,USA,1,1,1.0,1.0,20221106213131
11,Wales,England,2,2,1.0,1.0,20221106213131
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106213131
13,Mexico,Poland,1,1,1.0,1.0,20221106213131
14,Poland,Saudi Arabia,4,0,3.0,0.0,20221106213131
15,Argentina,Mexico,0,0,1.0,1.0,20221106213131
16,Poland,Argentina,1,2,0.0,3.0,20221106213131
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106213131
18,Denmark,Tunisia,2,1,3.0,0.0,20221106213131
19,France,Australia,5,1,3.0,0.0,20221106213131
20,Tunisia,Australia,1,2,0.0,3.0,20221106213131
21,France,Denmark,2,2,1.0,1.0,20221106213131
22,Australia,Denmark,0,0,1.0,1.0,20221106213131
23,Tunisia,France,0,3,0.0,3.0,20221106213131
24,Germany,Japan,0,1,0.0,3.0,20221106213131
25,Spain,Costa Rica,1,0,3.0,0.0,20221106213131
26,Japan,Costa Rica,2,1,3.0,0.0,20221106213131
27,Spain,Germany,1,1,1.0,1.0,20221106213131
28,Costa Rica,Germany,1,3,0.0,3.0,20221106213131
29,Japan,Spain,0,1,0.0,3.0,20221106213131
30,Morocco,Croatia,0,2,0.0,3.0,20221106213131
31,Belgium,Canada,1,0,3.0,0.0,20221106213131
32,Belgium,Morocco,2,0,3.0,0.0,20221106213131
33,Croatia,Canada,2,0,3.0,0.0,20221106213131
34,Canada,Morocco,0,2,0.0,3.0,20221106213131
35,Croatia,Belgium,1,0,3.0,0.0,20221106213131
36,Switzerland,Cameroon,0,2,0.0,3.0,20221106213131
37,Brazil,Serbia,0,2,0.0,3.0,20221106213131
38,Cameroon,Serbia,1,3,0.0,3.0,20221106213131
39,Brazil,Switzerland,0,2,0.0,3.0,20221106213131
40,Cameroon,Brazil,1,2,0.0,3.0,20221106213131
41,Serbia,Switzerland,1,2,0.0,3.0,20221106213131
42,Uruguay,South Korea,0,2,0.0,3.0,20221106213131
43,Portugal,Ghana,5,1,3.0,0.0,20221106213131
44,South Korea,Ghana,1,2,0.0,3.0,20221106213131
45,Portugal,Uruguay,0,1,0.0,3.0,20221106213131
46,Ghana,Uruguay,0,2,0.0,3.0,20221106213131
47,South Korea,Portugal,3,2,3.0,0.0,20221106213131
