,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106214636
1,Senegal,Netherlands,2,1,3.0,0.0,20221106214636
2,Qatar,Senegal,0,1,0.0,3.0,20221106214636
3,Netherlands,Ecuador,3,2,3.0,0.0,20221106214636
4,Ecuador,Senegal,1,2,0.0,3.0,20221106214636
5,Netherlands,Qatar,2,0,3.0,0.0,20221106214636
6,England,Iran,2,0,3.0,0.0,20221106214636
7,USA,Wales,3,1,3.0,0.0,20221106214636
8,Wales,Iran,3,2,3.0,0.0,20221106214636
9,England,USA,0,0,1.0,1.0,20221106214636
10,Iran,USA,0,2,0.0,3.0,20221106214636
11,Wales,England,2,2,1.0,1.0,20221106214636
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106214636
13,Mexico,Poland,1,2,0.0,3.0,20221106214636
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106214636
15,Argentina,Mexico,0,0,1.0,1.0,20221106214636
16,Poland,Argentina,2,2,1.0,1.0,20221106214636
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106214636
18,Denmark,Tunisia,3,0,3.0,0.0,20221106214636
19,France,Australia,3,0,3.0,0.0,20221106214636
20,Tunisia,Australia,3,3,1.0,1.0,20221106214636
21,France,Denmark,1,1,1.0,1.0,20221106214636
22,Australia,Denmark,0,2,0.0,3.0,20221106214636
23,Tunisia,France,0,2,0.0,3.0,20221106214636
24,Germany,Japan,2,1,3.0,0.0,20221106214636
25,Spain,Costa Rica,2,0,3.0,0.0,20221106214636
26,Japan,Costa Rica,2,1,3.0,0.0,20221106214636
27,Spain,Germany,1,1,1.0,1.0,20221106214636
28,Costa Rica,Germany,0,1,0.0,3.0,20221106214636
29,Japan,Spain,0,1,0.0,3.0,20221106214636
30,Morocco,Croatia,0,2,0.0,3.0,20221106214636
31,Belgium,Canada,3,2,3.0,0.0,20221106214636
32,Belgium,Morocco,3,4,0.0,3.0,20221106214636
33,Croatia,Canada,1,0,3.0,0.0,20221106214636
34,Canada,Morocco,0,2,0.0,3.0,20221106214636
35,Croatia,Belgium,1,0,3.0,0.0,20221106214636
36,Switzerland,Cameroon,3,0,3.0,0.0,20221106214636
37,Brazil,Serbia,2,1,3.0,0.0,20221106214636
38,Cameroon,Serbia,0,1,0.0,3.0,20221106214636
39,Brazil,Switzerland,3,3,1.0,1.0,20221106214636
40,Cameroon,Brazil,1,2,0.0,3.0,20221106214636
41,Serbia,Switzerland,3,2,3.0,0.0,20221106214636
42,Uruguay,South Korea,2,1,3.0,0.0,20221106214636
43,Portugal,Ghana,3,1,3.0,0.0,20221106214636
44,South Korea,Ghana,0,0,1.0,1.0,20221106214636
45,Portugal,Uruguay,1,1,1.0,1.0,20221106214636
46,Ghana,Uruguay,0,2,0.0,3.0,20221106214636
47,South Korea,Portugal,3,2,3.0,0.0,20221106214636
