,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106220204
1,Senegal,Netherlands,2,3,0.0,3.0,20221106220204
2,Qatar,Senegal,1,3,0.0,3.0,20221106220204
3,Netherlands,Ecuador,1,1,1.0,1.0,20221106220204
4,Ecuador,Senegal,3,2,3.0,0.0,20221106220204
5,Netherlands,Qatar,0,1,0.0,3.0,20221106220204
6,England,Iran,3,3,1.0,1.0,20221106220204
7,USA,Wales,3,1,3.0,0.0,20221106220204
8,Wales,Iran,1,2,0.0,3.0,20221106220204
9,England,USA,2,0,3.0,0.0,20221106220204
10,Iran,USA,1,1,1.0,1.0,20221106220204
11,Wales,England,0,0,1.0,1.0,20221106220204
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106220204
13,Mexico,Poland,0,2,0.0,3.0,20221106220204
14,Poland,Saudi Arabia,2,1,3.0,0.0,20221106220204
15,Argentina,Mexico,0,0,1.0,1.0,20221106220204
16,Poland,Argentina,0,0,1.0,1.0,20221106220204
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106220204
18,Denmark,Tunisia,2,1,3.0,0.0,20221106220204
19,France,Australia,2,1,3.0,0.0,20221106220204
20,Tunisia,Australia,3,3,1.0,1.0,20221106220204
21,France,Denmark,2,2,1.0,1.0,20221106220204
22,Australia,Denmark,1,1,1.0,1.0,20221106220204
23,Tunisia,France,1,3,0.0,3.0,20221106220204
24,Germany,Japan,1,0,3.0,0.0,20221106220204
25,Spain,Costa Rica,2,0,3.0,0.0,20221106220204
26,Japan,Costa Rica,1,1,1.0,1.0,20221106220204
27,Spain,Germany,2,2,1.0,1.0,20221106220204
28,Costa Rica,Germany,0,2,0.0,3.0,20221106220204
29,Japan,Spain,0,1,0.0,3.0,20221106220204
30,Morocco,Croatia,0,2,0.0,3.0,20221106220204
31,Belgium,Canada,4,2,3.0,0.0,20221106220204
32,Belgium,Morocco,3,3,1.0,1.0,20221106220204
33,Croatia,Canada,4,1,3.0,0.0,20221106220204
34,Canada,Morocco,0,2,0.0,3.0,20221106220204
35,Croatia,Belgium,1,0,3.0,0.0,20221106220204
36,Switzerland,Cameroon,2,1,3.0,0.0,20221106220204
37,Brazil,Serbia,2,1,3.0,0.0,20221106220204
38,Cameroon,Serbia,0,3,0.0,3.0,20221106220204
39,Brazil,Switzerland,3,3,1.0,1.0,20221106220204
40,Cameroon,Brazil,1,2,0.0,3.0,20221106220204
41,Serbia,Switzerland,3,2,3.0,0.0,20221106220204
42,Uruguay,South Korea,3,0,3.0,0.0,20221106220204
43,Portugal,Ghana,3,0,3.0,0.0,20221106220204
44,South Korea,Ghana,1,1,1.0,1.0,20221106220204
45,Portugal,Uruguay,0,2,0.0,3.0,20221106220204
46,Ghana,Uruguay,0,1,0.0,3.0,20221106220204
47,South Korea,Portugal,3,2,3.0,0.0,20221106220204
