,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106213439
1,Senegal,Netherlands,0,2,0.0,3.0,20221106213439
2,Qatar,Senegal,0,2,0.0,3.0,20221106213439
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106213439
4,Ecuador,Senegal,1,2,0.0,3.0,20221106213439
5,Netherlands,Qatar,5,0,3.0,0.0,20221106213439
6,England,Iran,1,2,0.0,3.0,20221106213439
7,USA,Wales,2,3,0.0,3.0,20221106213439
8,Wales,Iran,0,2,0.0,3.0,20221106213439
9,England,USA,1,0,3.0,0.0,20221106213439
10,Iran,USA,0,2,0.0,3.0,20221106213439
11,Wales,England,2,2,1.0,1.0,20221106213439
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106213439
13,Mexico,Poland,0,0,1.0,1.0,20221106213439
14,Poland,Saudi Arabia,2,2,1.0,1.0,20221106213439
15,Argentina,Mexico,0,0,1.0,1.0,20221106213439
16,Poland,Argentina,2,2,1.0,1.0,20221106213439
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106213439
18,Denmark,Tunisia,2,1,3.0,0.0,20221106213439
19,France,Australia,2,0,3.0,0.0,20221106213439
20,Tunisia,Australia,1,2,0.0,3.0,20221106213439
21,France,Denmark,1,1,1.0,1.0,20221106213439
22,Australia,Denmark,0,2,0.0,3.0,20221106213439
23,Tunisia,France,0,3,0.0,3.0,20221106213439
24,Germany,Japan,3,0,3.0,0.0,20221106213439
25,Spain,Costa Rica,1,0,3.0,0.0,20221106213439
26,Japan,Costa Rica,2,1,3.0,0.0,20221106213439
27,Spain,Germany,1,1,1.0,1.0,20221106213439
28,Costa Rica,Germany,1,3,0.0,3.0,20221106213439
29,Japan,Spain,0,1,0.0,3.0,20221106213439
30,Morocco,Croatia,0,2,0.0,3.0,20221106213439
31,Belgium,Canada,1,0,3.0,0.0,20221106213439
32,Belgium,Morocco,2,0,3.0,0.0,20221106213439
33,Croatia,Canada,1,0,3.0,0.0,20221106213439
34,Canada,Morocco,0,2,0.0,3.0,20221106213439
35,Croatia,Belgium,1,0,3.0,0.0,20221106213439
36,Switzerland,Cameroon,3,1,3.0,0.0,20221106213439
37,Brazil,Serbia,0,2,0.0,3.0,20221106213439
38,Cameroon,Serbia,1,3,0.0,3.0,20221106213439
39,Brazil,Switzerland,0,2,0.0,3.0,20221106213439
40,Cameroon,Brazil,1,2,0.0,3.0,20221106213439
41,Serbia,Switzerland,2,3,0.0,3.0,20221106213439
42,Uruguay,South Korea,3,3,1.0,1.0,20221106213439
43,Portugal,Ghana,5,1,3.0,0.0,20221106213439
44,South Korea,Ghana,0,0,1.0,1.0,20221106213439
45,Portugal,Uruguay,0,1,0.0,3.0,20221106213439
46,Ghana,Uruguay,0,2,0.0,3.0,20221106213439
47,South Korea,Portugal,3,2,3.0,0.0,20221106213439
