,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106213501
1,Senegal,Netherlands,2,3,0.0,3.0,20221106213501
2,Qatar,Senegal,0,1,0.0,3.0,20221106213501
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106213501
4,Ecuador,Senegal,2,3,0.0,3.0,20221106213501
5,Netherlands,Qatar,2,0,3.0,0.0,20221106213501
6,England,Iran,2,1,3.0,0.0,20221106213501
7,USA,Wales,3,1,3.0,0.0,20221106213501
8,Wales,Iran,1,1,1.0,1.0,20221106213501
9,England,USA,2,1,3.0,0.0,20221106213501
10,Iran,USA,0,2,0.0,3.0,20221106213501
11,Wales,England,2,2,1.0,1.0,20221106213501
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221106213501
13,Mexico,Poland,1,0,3.0,0.0,20221106213501
14,Poland,Saudi Arabia,0,0,1.0,1.0,20221106213501
15,Argentina,Mexico,0,0,1.0,1.0,20221106213501
16,Poland,Argentina,2,2,1.0,1.0,20221106213501
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106213501
18,Denmark,Tunisia,3,0,3.0,0.0,20221106213501
19,France,Australia,3,0,3.0,0.0,20221106213501
20,Tunisia,Australia,3,3,1.0,1.0,20221106213501
21,France,Denmark,1,1,1.0,1.0,20221106213501
22,Australia,Denmark,1,1,1.0,1.0,20221106213501
23,Tunisia,France,0,2,0.0,3.0,20221106213501
24,Germany,Japan,2,1,3.0,0.0,20221106213501
25,Spain,Costa Rica,2,0,3.0,0.0,20221106213501
26,Japan,Costa Rica,2,1,3.0,0.0,20221106213501
27,Spain,Germany,1,1,1.0,1.0,20221106213501
28,Costa Rica,Germany,0,1,0.0,3.0,20221106213501
29,Japan,Spain,0,1,0.0,3.0,20221106213501
30,Morocco,Croatia,0,2,0.0,3.0,20221106213501
31,Belgium,Canada,3,1,3.0,0.0,20221106213501
32,Belgium,Morocco,3,4,0.0,3.0,20221106213501
33,Croatia,Canada,1,0,3.0,0.0,20221106213501
34,Canada,Morocco,0,2,0.0,3.0,20221106213501
35,Croatia,Belgium,1,0,3.0,0.0,20221106213501
36,Switzerland,Cameroon,2,1,3.0,0.0,20221106213501
37,Brazil,Serbia,2,1,3.0,0.0,20221106213501
38,Cameroon,Serbia,0,1,0.0,3.0,20221106213501
39,Brazil,Switzerland,3,3,1.0,1.0,20221106213501
40,Cameroon,Brazil,1,2,0.0,3.0,20221106213501
41,Serbia,Switzerland,3,2,3.0,0.0,20221106213501
42,Uruguay,South Korea,2,1,3.0,0.0,20221106213501
43,Portugal,Ghana,3,0,3.0,0.0,20221106213501
44,South Korea,Ghana,0,0,1.0,1.0,20221106213501
45,Portugal,Uruguay,0,1,0.0,3.0,20221106213501
46,Ghana,Uruguay,0,2,0.0,3.0,20221106213501
47,South Korea,Portugal,3,2,3.0,0.0,20221106213501
