,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106215848
1,Senegal,Netherlands,2,3,0.0,3.0,20221106215848
2,Qatar,Senegal,0,1,0.0,3.0,20221106215848
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106215848
4,Ecuador,Senegal,2,3,0.0,3.0,20221106215848
5,Netherlands,Qatar,2,0,3.0,0.0,20221106215848
6,England,Iran,2,1,3.0,0.0,20221106215848
7,USA,Wales,3,1,3.0,0.0,20221106215848
8,Wales,Iran,1,1,1.0,1.0,20221106215848
9,England,USA,2,1,3.0,0.0,20221106215848
10,Iran,USA,0,2,0.0,3.0,20221106215848
11,Wales,England,2,2,1.0,1.0,20221106215848
12,Argentina,Saudi Arabia,0,1,0.0,3.0,20221106215848
13,Mexico,Poland,4,2,3.0,0.0,20221106215848
14,Poland,Saudi Arabia,0,0,1.0,1.0,20221106215848
15,Argentina,Mexico,0,0,1.0,1.0,20221106215848
16,Poland,Argentina,2,2,1.0,1.0,20221106215848
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106215848
18,Denmark,Tunisia,3,0,3.0,0.0,20221106215848
19,France,Australia,3,0,3.0,0.0,20221106215848
20,Tunisia,Australia,3,3,1.0,1.0,20221106215848
21,France,Denmark,1,1,1.0,1.0,20221106215848
22,Australia,Denmark,1,1,1.0,1.0,20221106215848
23,Tunisia,France,0,2,0.0,3.0,20221106215848
24,Germany,Japan,2,1,3.0,0.0,20221106215848
25,Spain,Costa Rica,2,0,3.0,0.0,20221106215848
26,Japan,Costa Rica,2,1,3.0,0.0,20221106215848
27,Spain,Germany,1,1,1.0,1.0,20221106215848
28,Costa Rica,Germany,0,1,0.0,3.0,20221106215848
29,Japan,Spain,0,1,0.0,3.0,20221106215848
30,Morocco,Croatia,0,2,0.0,3.0,20221106215848
31,Belgium,Canada,3,1,3.0,0.0,20221106215848
32,Belgium,Morocco,3,4,0.0,3.0,20221106215848
33,Croatia,Canada,1,0,3.0,0.0,20221106215848
34,Canada,Morocco,0,2,0.0,3.0,20221106215848
35,Croatia,Belgium,1,0,3.0,0.0,20221106215848
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106215848
37,Brazil,Serbia,2,1,3.0,0.0,20221106215848
38,Cameroon,Serbia,0,1,0.0,3.0,20221106215848
39,Brazil,Switzerland,3,3,1.0,1.0,20221106215848
40,Cameroon,Brazil,1,2,0.0,3.0,20221106215848
41,Serbia,Switzerland,3,2,3.0,0.0,20221106215848
42,Uruguay,South Korea,2,1,3.0,0.0,20221106215848
43,Portugal,Ghana,3,1,3.0,0.0,20221106215848
44,South Korea,Ghana,0,0,1.0,1.0,20221106215848
45,Portugal,Uruguay,1,1,1.0,1.0,20221106215848
46,Ghana,Uruguay,0,2,0.0,3.0,20221106215848
47,South Korea,Portugal,3,2,3.0,0.0,20221106215848
