,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221108203442
1,Senegal,Netherlands,2,3,0.0,3.0,20221108203442
2,Qatar,Senegal,0,1,0.0,3.0,20221108203442
3,Netherlands,Ecuador,2,0,3.0,0.0,20221108203442
4,Ecuador,Senegal,3,2,3.0,0.0,20221108203442
5,Netherlands,Qatar,2,0,3.0,0.0,20221108203442
6,England,Iran,2,1,3.0,0.0,20221108203442
7,USA,Wales,1,1,1.0,1.0,20221108203442
8,Wales,Iran,1,1,1.0,1.0,20221108203442
9,England,USA,1,0,3.0,0.0,20221108203442
10,Iran,USA,0,2,0.0,3.0,20221108203442
11,Wales,England,1,1,1.0,1.0,20221108203442
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221108203442
13,Mexico,Poland,0,1,0.0,3.0,20221108203442
14,Poland,Saudi Arabia,1,2,0.0,3.0,20221108203442
15,Argentina,Mexico,0,0,1.0,1.0,20221108203442
16,Poland,Argentina,2,2,1.0,1.0,20221108203442
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221108203442
18,Denmark,Tunisia,3,3,1.0,1.0,20221108203442
19,France,Australia,1,0,3.0,0.0,20221108203442
20,Tunisia,Australia,3,3,1.0,1.0,20221108203442
21,France,Denmark,0,2,0.0,3.0,20221108203442
22,Australia,Denmark,2,3,0.0,3.0,20221108203442
23,Tunisia,France,0,2,0.0,3.0,20221108203442
24,Germany,Japan,3,2,3.0,0.0,20221108203442
25,Spain,Costa Rica,2,0,3.0,0.0,20221108203442
26,Japan,Costa Rica,2,1,3.0,0.0,20221108203442
27,Spain,Germany,1,2,0.0,3.0,20221108203442
28,Costa Rica,Germany,0,2,0.0,3.0,20221108203442
29,Japan,Spain,0,1,0.0,3.0,20221108203442
30,Morocco,Croatia,0,2,0.0,3.0,20221108203442
31,Belgium,Canada,3,1,3.0,0.0,20221108203442
32,Belgium,Morocco,2,2,1.0,1.0,20221108203442
33,Croatia,Canada,1,0,3.0,0.0,20221108203442
34,Canada,Morocco,0,2,0.0,3.0,20221108203442
35,Croatia,Belgium,1,0,3.0,0.0,20221108203442
36,Switzerland,Cameroon,3,3,1.0,1.0,20221108203442
37,Brazil,Serbia,2,1,3.0,0.0,20221108203442
38,Cameroon,Serbia,2,0,3.0,0.0,20221108203442
39,Brazil,Switzerland,3,3,1.0,1.0,20221108203442
40,Cameroon,Brazil,1,2,0.0,3.0,20221108203442
41,Serbia,Switzerland,3,2,3.0,0.0,20221108203442
42,Uruguay,South Korea,2,1,3.0,0.0,20221108203442
43,Portugal,Ghana,0,2,0.0,3.0,20221108203442
44,South Korea,Ghana,1,1,1.0,1.0,20221108203442
45,Portugal,Uruguay,2,4,0.0,3.0,20221108203442
46,Ghana,Uruguay,1,0,3.0,0.0,20221108203442
47,South Korea,Portugal,3,2,3.0,0.0,20221108203442
