,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106214322
1,Senegal,Netherlands,0,2,0.0,3.0,20221106214322
2,Qatar,Senegal,0,2,0.0,3.0,20221106214322
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106214322
4,Ecuador,Senegal,1,2,0.0,3.0,20221106214322
5,Netherlands,Qatar,5,0,3.0,0.0,20221106214322
6,England,Iran,1,2,0.0,3.0,20221106214322
7,USA,Wales,0,2,0.0,3.0,20221106214322
8,Wales,Iran,0,2,0.0,3.0,20221106214322
9,England,USA,3,2,3.0,0.0,20221106214322
10,Iran,USA,0,2,0.0,3.0,20221106214322
11,Wales,England,2,2,1.0,1.0,20221106214322
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106214322
13,Mexico,Poland,1,2,0.0,3.0,20221106214322
14,Poland,Saudi Arabia,2,2,1.0,1.0,20221106214322
15,Argentina,Mexico,0,0,1.0,1.0,20221106214322
16,Poland,Argentina,2,2,1.0,1.0,20221106214322
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106214322
18,Denmark,Tunisia,3,0,3.0,0.0,20221106214322
19,France,Australia,2,0,3.0,0.0,20221106214322
20,Tunisia,Australia,1,2,0.0,3.0,20221106214322
21,France,Denmark,1,1,1.0,1.0,20221106214322
22,Australia,Denmark,0,2,0.0,3.0,20221106214322
23,Tunisia,France,0,3,0.0,3.0,20221106214322
24,Germany,Japan,3,0,3.0,0.0,20221106214322
25,Spain,Costa Rica,1,0,3.0,0.0,20221106214322
26,Japan,Costa Rica,2,1,3.0,0.0,20221106214322
27,Spain,Germany,1,1,1.0,1.0,20221106214322
28,Costa Rica,Germany,1,3,0.0,3.0,20221106214322
29,Japan,Spain,0,1,0.0,3.0,20221106214322
30,Morocco,Croatia,0,2,0.0,3.0,20221106214322
31,Belgium,Canada,1,0,3.0,0.0,20221106214322
32,Belgium,Morocco,2,0,3.0,0.0,20221106214322
33,Croatia,Canada,1,0,3.0,0.0,20221106214322
34,Canada,Morocco,0,2,0.0,3.0,20221106214322
35,Croatia,Belgium,1,0,3.0,0.0,20221106214322
36,Switzerland,Cameroon,2,1,3.0,0.0,20221106214322
37,Brazil,Serbia,0,2,0.0,3.0,20221106214322
38,Cameroon,Serbia,1,3,0.0,3.0,20221106214322
39,Brazil,Switzerland,0,2,0.0,3.0,20221106214322
40,Cameroon,Brazil,1,2,0.0,3.0,20221106214322
41,Serbia,Switzerland,3,2,3.0,0.0,20221106214322
42,Uruguay,South Korea,3,3,1.0,1.0,20221106214322
43,Portugal,Ghana,5,1,3.0,0.0,20221106214322
44,South Korea,Ghana,0,0,1.0,1.0,20221106214322
45,Portugal,Uruguay,0,1,0.0,3.0,20221106214322
46,Ghana,Uruguay,0,2,0.0,3.0,20221106214322
47,South Korea,Portugal,3,2,3.0,0.0,20221106214322
