,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221107203113
1,Senegal,Netherlands,0,2,0.0,3.0,20221107203113
2,Qatar,Senegal,0,2,0.0,3.0,20221107203113
3,Netherlands,Ecuador,2,1,3.0,0.0,20221107203113
4,Ecuador,Senegal,1,2,0.0,3.0,20221107203113
5,Netherlands,Qatar,5,0,3.0,0.0,20221107203113
6,England,Iran,0,2,0.0,3.0,20221107203113
7,USA,Wales,2,3,0.0,3.0,20221107203113
8,Wales,Iran,0,2,0.0,3.0,20221107203113
9,England,USA,2,1,3.0,0.0,20221107203113
10,Iran,USA,0,2,0.0,3.0,20221107203113
11,Wales,England,2,2,1.0,1.0,20221107203113
12,Argentina,Saudi Arabia,2,0,3.0,0.0,20221107203113
13,Mexico,Poland,0,2,0.0,3.0,20221107203113
14,Poland,Saudi Arabia,4,0,3.0,0.0,20221107203113
15,Argentina,Mexico,0,0,1.0,1.0,20221107203113
16,Poland,Argentina,2,2,1.0,1.0,20221107203113
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221107203113
18,Denmark,Tunisia,3,0,3.0,0.0,20221107203113
19,France,Australia,5,1,3.0,0.0,20221107203113
20,Tunisia,Australia,1,2,0.0,3.0,20221107203113
21,France,Denmark,1,3,0.0,3.0,20221107203113
22,Australia,Denmark,0,0,1.0,1.0,20221107203113
23,Tunisia,France,0,1,0.0,3.0,20221107203113
24,Germany,Japan,2,1,3.0,0.0,20221107203113
25,Spain,Costa Rica,1,0,3.0,0.0,20221107203113
26,Japan,Costa Rica,2,1,3.0,0.0,20221107203113
27,Spain,Germany,1,1,1.0,1.0,20221107203113
28,Costa Rica,Germany,1,3,0.0,3.0,20221107203113
29,Japan,Spain,0,1,0.0,3.0,20221107203113
30,Morocco,Croatia,0,2,0.0,3.0,20221107203113
31,Belgium,Canada,1,0,3.0,0.0,20221107203113
32,Belgium,Morocco,2,0,3.0,0.0,20221107203113
33,Croatia,Canada,1,0,3.0,0.0,20221107203113
34,Canada,Morocco,0,2,0.0,3.0,20221107203113
35,Croatia,Belgium,1,0,3.0,0.0,20221107203113
36,Switzerland,Cameroon,3,3,1.0,1.0,20221107203113
37,Brazil,Serbia,0,2,0.0,3.0,20221107203113
38,Cameroon,Serbia,1,3,0.0,3.0,20221107203113
39,Brazil,Switzerland,1,1,1.0,1.0,20221107203113
40,Cameroon,Brazil,1,2,0.0,3.0,20221107203113
41,Serbia,Switzerland,2,3,0.0,3.0,20221107203113
42,Uruguay,South Korea,0,2,0.0,3.0,20221107203113
43,Portugal,Ghana,5,1,3.0,0.0,20221107203113
44,South Korea,Ghana,0,0,1.0,1.0,20221107203113
45,Portugal,Uruguay,0,1,0.0,3.0,20221107203113
46,Ghana,Uruguay,0,2,0.0,3.0,20221107203113
47,South Korea,Portugal,3,2,3.0,0.0,20221107203113
