,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106214841
1,Senegal,Netherlands,2,3,0.0,3.0,20221106214841
2,Qatar,Senegal,0,1,0.0,3.0,20221106214841
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106214841
4,Ecuador,Senegal,3,2,3.0,0.0,20221106214841
5,Netherlands,Qatar,2,0,3.0,0.0,20221106214841
6,England,Iran,2,1,3.0,0.0,20221106214841
7,USA,Wales,2,2,1.0,1.0,20221106214841
8,Wales,Iran,1,1,1.0,1.0,20221106214841
9,England,USA,2,0,3.0,0.0,20221106214841
10,Iran,USA,0,2,0.0,3.0,20221106214841
11,Wales,England,2,2,1.0,1.0,20221106214841
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106214841
13,Mexico,Poland,0,1,0.0,3.0,20221106214841
14,Poland,Saudi Arabia,0,0,1.0,1.0,20221106214841
15,Argentina,Mexico,0,0,1.0,1.0,20221106214841
16,Poland,Argentina,2,2,1.0,1.0,20221106214841
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106214841
18,Denmark,Tunisia,3,3,1.0,1.0,20221106214841
19,France,Australia,3,0,3.0,0.0,20221106214841
20,Tunisia,Australia,3,3,1.0,1.0,20221106214841
21,France,Denmark,1,2,0.0,3.0,20221106214841
22,Australia,Denmark,1,1,1.0,1.0,20221106214841
23,Tunisia,France,0,2,0.0,3.0,20221106214841
24,Germany,Japan,3,2,3.0,0.0,20221106214841
25,Spain,Costa Rica,2,0,3.0,0.0,20221106214841
26,Japan,Costa Rica,2,1,3.0,0.0,20221106214841
27,Spain,Germany,1,2,0.0,3.0,20221106214841
28,Costa Rica,Germany,0,2,0.0,3.0,20221106214841
29,Japan,Spain,0,1,0.0,3.0,20221106214841
30,Morocco,Croatia,0,2,0.0,3.0,20221106214841
31,Belgium,Canada,3,1,3.0,0.0,20221106214841
32,Belgium,Morocco,3,3,1.0,1.0,20221106214841
33,Croatia,Canada,1,0,3.0,0.0,20221106214841
34,Canada,Morocco,0,2,0.0,3.0,20221106214841
35,Croatia,Belgium,1,0,3.0,0.0,20221106214841
36,Switzerland,Cameroon,2,1,3.0,0.0,20221106214841
37,Brazil,Serbia,2,1,3.0,0.0,20221106214841
38,Cameroon,Serbia,2,0,3.0,0.0,20221106214841
39,Brazil,Switzerland,3,3,1.0,1.0,20221106214841
40,Cameroon,Brazil,1,2,0.0,3.0,20221106214841
41,Serbia,Switzerland,3,2,3.0,0.0,20221106214841
42,Uruguay,South Korea,2,1,3.0,0.0,20221106214841
43,Portugal,Ghana,3,0,3.0,0.0,20221106214841
44,South Korea,Ghana,1,1,1.0,1.0,20221106214841
45,Portugal,Uruguay,2,4,0.0,3.0,20221106214841
46,Ghana,Uruguay,1,0,3.0,0.0,20221106214841
47,South Korea,Portugal,3,2,3.0,0.0,20221106214841
