,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221107204851
1,Senegal,Netherlands,2,3,0.0,3.0,20221107204851
2,Qatar,Senegal,0,1,0.0,3.0,20221107204851
3,Netherlands,Ecuador,3,2,3.0,0.0,20221107204851
4,Ecuador,Senegal,2,3,0.0,3.0,20221107204851
5,Netherlands,Qatar,2,0,3.0,0.0,20221107204851
6,England,Iran,2,1,3.0,0.0,20221107204851
7,USA,Wales,3,1,3.0,0.0,20221107204851
8,Wales,Iran,3,2,3.0,0.0,20221107204851
9,England,USA,4,0,3.0,0.0,20221107204851
10,Iran,USA,0,2,0.0,3.0,20221107204851
11,Wales,England,2,2,1.0,1.0,20221107204851
12,Argentina,Saudi Arabia,0,1,0.0,3.0,20221107204851
13,Mexico,Poland,4,2,3.0,0.0,20221107204851
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221107204851
15,Argentina,Mexico,0,0,1.0,1.0,20221107204851
16,Poland,Argentina,2,2,1.0,1.0,20221107204851
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221107204851
18,Denmark,Tunisia,3,0,3.0,0.0,20221107204851
19,France,Australia,3,0,3.0,0.0,20221107204851
20,Tunisia,Australia,3,3,1.0,1.0,20221107204851
21,France,Denmark,2,1,3.0,0.0,20221107204851
22,Australia,Denmark,0,2,0.0,3.0,20221107204851
23,Tunisia,France,0,2,0.0,3.0,20221107204851
24,Germany,Japan,2,1,3.0,0.0,20221107204851
25,Spain,Costa Rica,2,0,3.0,0.0,20221107204851
26,Japan,Costa Rica,2,1,3.0,0.0,20221107204851
27,Spain,Germany,1,1,1.0,1.0,20221107204851
28,Costa Rica,Germany,0,1,0.0,3.0,20221107204851
29,Japan,Spain,0,1,0.0,3.0,20221107204851
30,Morocco,Croatia,0,2,0.0,3.0,20221107204851
31,Belgium,Canada,3,1,3.0,0.0,20221107204851
32,Belgium,Morocco,3,4,0.0,3.0,20221107204851
33,Croatia,Canada,1,0,3.0,0.0,20221107204851
34,Canada,Morocco,0,2,0.0,3.0,20221107204851
35,Croatia,Belgium,1,0,3.0,0.0,20221107204851
36,Switzerland,Cameroon,3,3,1.0,1.0,20221107204851
37,Brazil,Serbia,2,1,3.0,0.0,20221107204851
38,Cameroon,Serbia,0,1,0.0,3.0,20221107204851
39,Brazil,Switzerland,3,3,1.0,1.0,20221107204851
40,Cameroon,Brazil,1,2,0.0,3.0,20221107204851
41,Serbia,Switzerland,3,2,3.0,0.0,20221107204851
42,Uruguay,South Korea,2,1,3.0,0.0,20221107204851
43,Portugal,Ghana,3,1,3.0,0.0,20221107204851
44,South Korea,Ghana,0,0,1.0,1.0,20221107204851
45,Portugal,Uruguay,1,1,1.0,1.0,20221107204851
46,Ghana,Uruguay,0,2,0.0,3.0,20221107204851
47,South Korea,Portugal,3,2,3.0,0.0,20221107204851
