,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221108203816
1,Senegal,Netherlands,0,2,0.0,3.0,20221108203816
2,Qatar,Senegal,0,0,1.0,1.0,20221108203816
3,Netherlands,Ecuador,2,1,3.0,0.0,20221108203816
4,Ecuador,Senegal,1,2,0.0,3.0,20221108203816
5,Netherlands,Qatar,5,0,3.0,0.0,20221108203816
6,England,Iran,1,2,0.0,3.0,20221108203816
7,USA,Wales,2,2,1.0,1.0,20221108203816
8,Wales,Iran,0,2,0.0,3.0,20221108203816
9,England,USA,2,1,3.0,0.0,20221108203816
10,Iran,USA,0,2,0.0,3.0,20221108203816
11,Wales,England,1,1,1.0,1.0,20221108203816
12,Argentina,Saudi Arabia,0,2,0.0,3.0,20221108203816
13,Mexico,Poland,0,1,0.0,3.0,20221108203816
14,Poland,Saudi Arabia,4,0,3.0,0.0,20221108203816
15,Argentina,Mexico,0,0,1.0,1.0,20221108203816
16,Poland,Argentina,2,2,1.0,1.0,20221108203816
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221108203816
18,Denmark,Tunisia,3,3,1.0,1.0,20221108203816
19,France,Australia,2,1,3.0,0.0,20221108203816
20,Tunisia,Australia,1,2,0.0,3.0,20221108203816
21,France,Denmark,1,3,0.0,3.0,20221108203816
22,Australia,Denmark,2,3,0.0,3.0,20221108203816
23,Tunisia,France,0,3,0.0,3.0,20221108203816
24,Germany,Japan,0,2,0.0,3.0,20221108203816
25,Spain,Costa Rica,1,0,3.0,0.0,20221108203816
26,Japan,Costa Rica,2,1,3.0,0.0,20221108203816
27,Spain,Germany,1,1,1.0,1.0,20221108203816
28,Costa Rica,Germany,1,3,0.0,3.0,20221108203816
29,Japan,Spain,0,1,0.0,3.0,20221108203816
30,Morocco,Croatia,0,2,0.0,3.0,20221108203816
31,Belgium,Canada,0,0,1.0,1.0,20221108203816
32,Belgium,Morocco,2,0,3.0,0.0,20221108203816
33,Croatia,Canada,1,0,3.0,0.0,20221108203816
34,Canada,Morocco,0,2,0.0,3.0,20221108203816
35,Croatia,Belgium,1,0,3.0,0.0,20221108203816
36,Switzerland,Cameroon,3,3,1.0,1.0,20221108203816
37,Brazil,Serbia,0,2,0.0,3.0,20221108203816
38,Cameroon,Serbia,1,3,0.0,3.0,20221108203816
39,Brazil,Switzerland,1,1,1.0,1.0,20221108203816
40,Cameroon,Brazil,1,2,0.0,3.0,20221108203816
41,Serbia,Switzerland,2,3,0.0,3.0,20221108203816
42,Uruguay,South Korea,0,2,0.0,3.0,20221108203816
43,Portugal,Ghana,5,1,3.0,0.0,20221108203816
44,South Korea,Ghana,0,0,1.0,1.0,20221108203816
45,Portugal,Uruguay,0,1,0.0,3.0,20221108203816
46,Ghana,Uruguay,0,2,0.0,3.0,20221108203816
47,South Korea,Portugal,3,2,3.0,0.0,20221108203816
