,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106213352
1,Senegal,Netherlands,2,3,0.0,3.0,20221106213352
2,Qatar,Senegal,0,1,0.0,3.0,20221106213352
3,Netherlands,Ecuador,2,0,3.0,0.0,20221106213352
4,Ecuador,Senegal,2,3,0.0,3.0,20221106213352
5,Netherlands,Qatar,2,0,3.0,0.0,20221106213352
6,England,Iran,2,1,3.0,0.0,20221106213352
7,USA,Wales,3,1,3.0,0.0,20221106213352
8,Wales,Iran,1,1,1.0,1.0,20221106213352
9,England,USA,2,1,3.0,0.0,20221106213352
10,Iran,USA,0,2,0.0,3.0,20221106213352
11,Wales,England,2,2,1.0,1.0,20221106213352
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106213352
13,Mexico,Poland,1,0,3.0,0.0,20221106213352
14,Poland,Saudi Arabia,0,0,1.0,1.0,20221106213352
15,Argentina,Mexico,0,0,1.0,1.0,20221106213352
16,Poland,Argentina,2,2,1.0,1.0,20221106213352
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106213352
18,Denmark,Tunisia,3,0,3.0,0.0,20221106213352
19,France,Australia,3,0,3.0,0.0,20221106213352
20,Tunisia,Australia,3,3,1.0,1.0,20221106213352
21,France,Denmark,1,1,1.0,1.0,20221106213352
22,Australia,Denmark,1,1,1.0,1.0,20221106213352
23,Tunisia,France,0,2,0.0,3.0,20221106213352
24,Germany,Japan,3,3,1.0,1.0,20221106213352
25,Spain,Costa Rica,2,0,3.0,0.0,20221106213352
26,Japan,Costa Rica,2,1,3.0,0.0,20221106213352
27,Spain,Germany,1,1,1.0,1.0,20221106213352
28,Costa Rica,Germany,0,1,0.0,3.0,20221106213352
29,Japan,Spain,0,1,0.0,3.0,20221106213352
30,Morocco,Croatia,0,2,0.0,3.0,20221106213352
31,Belgium,Canada,3,1,3.0,0.0,20221106213352
32,Belgium,Morocco,3,4,0.0,3.0,20221106213352
33,Croatia,Canada,1,0,3.0,0.0,20221106213352
34,Canada,Morocco,0,2,0.0,3.0,20221106213352
35,Croatia,Belgium,1,0,3.0,0.0,20221106213352
36,Switzerland,Cameroon,2,1,3.0,0.0,20221106213352
37,Brazil,Serbia,2,1,3.0,0.0,20221106213352
38,Cameroon,Serbia,2,0,3.0,0.0,20221106213352
39,Brazil,Switzerland,3,3,1.0,1.0,20221106213352
40,Cameroon,Brazil,1,2,0.0,3.0,20221106213352
41,Serbia,Switzerland,3,2,3.0,0.0,20221106213352
42,Uruguay,South Korea,3,3,1.0,1.0,20221106213352
43,Portugal,Ghana,3,0,3.0,0.0,20221106213352
44,South Korea,Ghana,0,0,1.0,1.0,20221106213352
45,Portugal,Uruguay,0,1,0.0,3.0,20221106213352
46,Ghana,Uruguay,1,0,3.0,0.0,20221106213352
47,South Korea,Portugal,3,2,3.0,0.0,20221106213352
