,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106215151
1,Senegal,Netherlands,0,2,0.0,3.0,20221106215151
2,Qatar,Senegal,0,0,1.0,1.0,20221106215151
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106215151
4,Ecuador,Senegal,1,2,0.0,3.0,20221106215151
5,Netherlands,Qatar,5,0,3.0,0.0,20221106215151
6,England,Iran,1,2,0.0,3.0,20221106215151
7,USA,Wales,2,2,1.0,1.0,20221106215151
8,Wales,Iran,0,2,0.0,3.0,20221106215151
9,England,USA,2,1,3.0,0.0,20221106215151
10,Iran,USA,0,2,0.0,3.0,20221106215151
11,Wales,England,2,2,1.0,1.0,20221106215151
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106215151
13,Mexico,Poland,3,1,3.0,0.0,20221106215151
14,Poland,Saudi Arabia,4,0,3.0,0.0,20221106215151
15,Argentina,Mexico,0,0,1.0,1.0,20221106215151
16,Poland,Argentina,1,2,0.0,3.0,20221106215151
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106215151
18,Denmark,Tunisia,3,1,3.0,0.0,20221106215151
19,France,Australia,5,1,3.0,0.0,20221106215151
20,Tunisia,Australia,1,2,0.0,3.0,20221106215151
21,France,Denmark,2,2,1.0,1.0,20221106215151
22,Australia,Denmark,0,0,1.0,1.0,20221106215151
23,Tunisia,France,0,3,0.0,3.0,20221106215151
24,Germany,Japan,2,1,3.0,0.0,20221106215151
25,Spain,Costa Rica,1,0,3.0,0.0,20221106215151
26,Japan,Costa Rica,2,1,3.0,0.0,20221106215151
27,Spain,Germany,1,1,1.0,1.0,20221106215151
28,Costa Rica,Germany,1,3,0.0,3.0,20221106215151
29,Japan,Spain,0,1,0.0,3.0,20221106215151
30,Morocco,Croatia,0,2,0.0,3.0,20221106215151
31,Belgium,Canada,1,0,3.0,0.0,20221106215151
32,Belgium,Morocco,2,0,3.0,0.0,20221106215151
33,Croatia,Canada,1,0,3.0,0.0,20221106215151
34,Canada,Morocco,0,2,0.0,3.0,20221106215151
35,Croatia,Belgium,1,0,3.0,0.0,20221106215151
36,Switzerland,Cameroon,2,1,3.0,0.0,20221106215151
37,Brazil,Serbia,0,2,0.0,3.0,20221106215151
38,Cameroon,Serbia,1,3,0.0,3.0,20221106215151
39,Brazil,Switzerland,0,2,0.0,3.0,20221106215151
40,Cameroon,Brazil,1,2,0.0,3.0,20221106215151
41,Serbia,Switzerland,2,3,0.0,3.0,20221106215151
42,Uruguay,South Korea,0,2,0.0,3.0,20221106215151
43,Portugal,Ghana,5,1,3.0,0.0,20221106215151
44,South Korea,Ghana,0,0,1.0,1.0,20221106215151
45,Portugal,Uruguay,0,1,0.0,3.0,20221106215151
46,Ghana,Uruguay,0,2,0.0,3.0,20221106215151
47,South Korea,Portugal,3,2,3.0,0.0,20221106215151
