,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221107202320
1,Senegal,Netherlands,0,2,0.0,3.0,20221107202320
2,Qatar,Senegal,0,2,0.0,3.0,20221107202320
3,Netherlands,Ecuador,2,1,3.0,0.0,20221107202320
4,Ecuador,Senegal,1,2,0.0,3.0,20221107202320
5,Netherlands,Qatar,5,0,3.0,0.0,20221107202320
6,England,Iran,0,2,0.0,3.0,20221107202320
7,USA,Wales,1,1,1.0,1.0,20221107202320
8,Wales,Iran,0,2,0.0,3.0,20221107202320
9,England,USA,3,2,3.0,0.0,20221107202320
10,Iran,USA,0,2,0.0,3.0,20221107202320
11,Wales,England,2,2,1.0,1.0,20221107202320
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221107202320
13,Mexico,Poland,1,2,0.0,3.0,20221107202320
14,Poland,Saudi Arabia,2,2,1.0,1.0,20221107202320
15,Argentina,Mexico,0,0,1.0,1.0,20221107202320
16,Poland,Argentina,2,2,1.0,1.0,20221107202320
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221107202320
18,Denmark,Tunisia,3,3,1.0,1.0,20221107202320
19,France,Australia,2,0,3.0,0.0,20221107202320
20,Tunisia,Australia,1,2,0.0,3.0,20221107202320
21,France,Denmark,1,3,0.0,3.0,20221107202320
22,Australia,Denmark,0,2,0.0,3.0,20221107202320
23,Tunisia,France,0,3,0.0,3.0,20221107202320
24,Germany,Japan,2,1,3.0,0.0,20221107202320
25,Spain,Costa Rica,1,0,3.0,0.0,20221107202320
26,Japan,Costa Rica,2,1,3.0,0.0,20221107202320
27,Spain,Germany,1,1,1.0,1.0,20221107202320
28,Costa Rica,Germany,1,3,0.0,3.0,20221107202320
29,Japan,Spain,0,1,0.0,3.0,20221107202320
30,Morocco,Croatia,0,2,0.0,3.0,20221107202320
31,Belgium,Canada,1,0,3.0,0.0,20221107202320
32,Belgium,Morocco,2,0,3.0,0.0,20221107202320
33,Croatia,Canada,1,0,3.0,0.0,20221107202320
34,Canada,Morocco,0,2,0.0,3.0,20221107202320
35,Croatia,Belgium,1,0,3.0,0.0,20221107202320
36,Switzerland,Cameroon,0,2,0.0,3.0,20221107202320
37,Brazil,Serbia,0,2,0.0,3.0,20221107202320
38,Cameroon,Serbia,1,3,0.0,3.0,20221107202320
39,Brazil,Switzerland,1,1,1.0,1.0,20221107202320
40,Cameroon,Brazil,1,2,0.0,3.0,20221107202320
41,Serbia,Switzerland,3,2,3.0,0.0,20221107202320
42,Uruguay,South Korea,3,3,1.0,1.0,20221107202320
43,Portugal,Ghana,5,1,3.0,0.0,20221107202320
44,South Korea,Ghana,0,0,1.0,1.0,20221107202320
45,Portugal,Uruguay,0,1,0.0,3.0,20221107202320
46,Ghana,Uruguay,0,2,0.0,3.0,20221107202320
47,South Korea,Portugal,3,2,3.0,0.0,20221107202320
