,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106221721
1,Senegal,Netherlands,0,2,0.0,3.0,20221106221721
2,Qatar,Senegal,0,2,0.0,3.0,20221106221721
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106221721
4,Ecuador,Senegal,1,2,0.0,3.0,20221106221721
5,Netherlands,Qatar,5,0,3.0,0.0,20221106221721
6,England,Iran,3,0,3.0,0.0,20221106221721
7,USA,Wales,0,1,0.0,3.0,20221106221721
8,Wales,Iran,0,2,0.0,3.0,20221106221721
9,England,USA,1,0,3.0,0.0,20221106221721
10,Iran,USA,0,2,0.0,3.0,20221106221721
11,Wales,England,2,2,1.0,1.0,20221106221721
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106221721
13,Mexico,Poland,1,2,0.0,3.0,20221106221721
14,Poland,Saudi Arabia,2,2,1.0,1.0,20221106221721
15,Argentina,Mexico,0,0,1.0,1.0,20221106221721
16,Poland,Argentina,2,2,1.0,1.0,20221106221721
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106221721
18,Denmark,Tunisia,3,0,3.0,0.0,20221106221721
19,France,Australia,2,0,3.0,0.0,20221106221721
20,Tunisia,Australia,2,3,0.0,3.0,20221106221721
21,France,Denmark,1,1,1.0,1.0,20221106221721
22,Australia,Denmark,0,2,0.0,3.0,20221106221721
23,Tunisia,France,0,3,0.0,3.0,20221106221721
24,Germany,Japan,3,0,3.0,0.0,20221106221721
25,Spain,Costa Rica,1,0,3.0,0.0,20221106221721
26,Japan,Costa Rica,2,1,3.0,0.0,20221106221721
27,Spain,Germany,1,1,1.0,1.0,20221106221721
28,Costa Rica,Germany,0,1,0.0,3.0,20221106221721
29,Japan,Spain,0,1,0.0,3.0,20221106221721
30,Morocco,Croatia,0,2,0.0,3.0,20221106221721
31,Belgium,Canada,1,0,3.0,0.0,20221106221721
32,Belgium,Morocco,2,0,3.0,0.0,20221106221721
33,Croatia,Canada,1,0,3.0,0.0,20221106221721
34,Canada,Morocco,0,2,0.0,3.0,20221106221721
35,Croatia,Belgium,1,0,3.0,0.0,20221106221721
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106221721
37,Brazil,Serbia,0,2,0.0,3.0,20221106221721
38,Cameroon,Serbia,1,3,0.0,3.0,20221106221721
39,Brazil,Switzerland,3,4,0.0,3.0,20221106221721
40,Cameroon,Brazil,1,2,0.0,3.0,20221106221721
41,Serbia,Switzerland,3,2,3.0,0.0,20221106221721
42,Uruguay,South Korea,1,2,0.0,3.0,20221106221721
43,Portugal,Ghana,5,1,3.0,0.0,20221106221721
44,South Korea,Ghana,0,0,1.0,1.0,20221106221721
45,Portugal,Uruguay,0,1,0.0,3.0,20221106221721
46,Ghana,Uruguay,0,2,0.0,3.0,20221106221721
47,South Korea,Portugal,3,2,3.0,0.0,20221106221721
