,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106212620
1,Senegal,Netherlands,2,1,3.0,0.0,20221106212620
2,Qatar,Senegal,0,1,0.0,3.0,20221106212620
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106212620
4,Ecuador,Senegal,1,2,0.0,3.0,20221106212620
5,Netherlands,Qatar,2,0,3.0,0.0,20221106212620
6,England,Iran,2,1,3.0,0.0,20221106212620
7,USA,Wales,3,1,3.0,0.0,20221106212620
8,Wales,Iran,3,2,3.0,0.0,20221106212620
9,England,USA,0,0,1.0,1.0,20221106212620
10,Iran,USA,0,2,0.0,3.0,20221106212620
11,Wales,England,2,2,1.0,1.0,20221106212620
12,Argentina,Saudi Arabia,3,1,3.0,0.0,20221106212620
13,Mexico,Poland,1,2,0.0,3.0,20221106212620
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106212620
15,Argentina,Mexico,0,0,1.0,1.0,20221106212620
16,Poland,Argentina,2,2,1.0,1.0,20221106212620
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106212620
18,Denmark,Tunisia,3,0,3.0,0.0,20221106212620
19,France,Australia,3,0,3.0,0.0,20221106212620
20,Tunisia,Australia,3,3,1.0,1.0,20221106212620
21,France,Denmark,1,1,1.0,1.0,20221106212620
22,Australia,Denmark,0,2,0.0,3.0,20221106212620
23,Tunisia,France,0,2,0.0,3.0,20221106212620
24,Germany,Japan,3,0,3.0,0.0,20221106212620
25,Spain,Costa Rica,2,0,3.0,0.0,20221106212620
26,Japan,Costa Rica,2,1,3.0,0.0,20221106212620
27,Spain,Germany,1,1,1.0,1.0,20221106212620
28,Costa Rica,Germany,0,1,0.0,3.0,20221106212620
29,Japan,Spain,0,1,0.0,3.0,20221106212620
30,Morocco,Croatia,0,2,0.0,3.0,20221106212620
31,Belgium,Canada,3,2,3.0,0.0,20221106212620
32,Belgium,Morocco,2,0,3.0,0.0,20221106212620
33,Croatia,Canada,1,0,3.0,0.0,20221106212620
34,Canada,Morocco,0,2,0.0,3.0,20221106212620
35,Croatia,Belgium,1,0,3.0,0.0,20221106212620
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106212620
37,Brazil,Serbia,2,1,3.0,0.0,20221106212620
38,Cameroon,Serbia,0,1,0.0,3.0,20221106212620
39,Brazil,Switzerland,3,3,1.0,1.0,20221106212620
40,Cameroon,Brazil,1,2,0.0,3.0,20221106212620
41,Serbia,Switzerland,3,2,3.0,0.0,20221106212620
42,Uruguay,South Korea,3,3,1.0,1.0,20221106212620
43,Portugal,Ghana,3,1,3.0,0.0,20221106212620
44,South Korea,Ghana,0,0,1.0,1.0,20221106212620
45,Portugal,Uruguay,1,1,1.0,1.0,20221106212620
46,Ghana,Uruguay,0,2,0.0,3.0,20221106212620
47,South Korea,Portugal,3,2,3.0,0.0,20221106212620
