,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106214650
1,Senegal,Netherlands,0,2,0.0,3.0,20221106214650
2,Qatar,Senegal,0,1,0.0,3.0,20221106214650
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106214650
4,Ecuador,Senegal,1,2,0.0,3.0,20221106214650
5,Netherlands,Qatar,2,0,3.0,0.0,20221106214650
6,England,Iran,2,1,3.0,0.0,20221106214650
7,USA,Wales,1,1,1.0,1.0,20221106214650
8,Wales,Iran,3,2,3.0,0.0,20221106214650
9,England,USA,1,0,3.0,0.0,20221106214650
10,Iran,USA,0,2,0.0,3.0,20221106214650
11,Wales,England,2,2,1.0,1.0,20221106214650
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106214650
13,Mexico,Poland,1,2,0.0,3.0,20221106214650
14,Poland,Saudi Arabia,1,2,0.0,3.0,20221106214650
15,Argentina,Mexico,0,0,1.0,1.0,20221106214650
16,Poland,Argentina,2,2,1.0,1.0,20221106214650
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106214650
18,Denmark,Tunisia,3,3,1.0,1.0,20221106214650
19,France,Australia,3,0,3.0,0.0,20221106214650
20,Tunisia,Australia,2,3,0.0,3.0,20221106214650
21,France,Denmark,1,1,1.0,1.0,20221106214650
22,Australia,Denmark,0,2,0.0,3.0,20221106214650
23,Tunisia,France,0,2,0.0,3.0,20221106214650
24,Germany,Japan,3,0,3.0,0.0,20221106214650
25,Spain,Costa Rica,2,0,3.0,0.0,20221106214650
26,Japan,Costa Rica,2,1,3.0,0.0,20221106214650
27,Spain,Germany,1,1,1.0,1.0,20221106214650
28,Costa Rica,Germany,0,1,0.0,3.0,20221106214650
29,Japan,Spain,0,1,0.0,3.0,20221106214650
30,Morocco,Croatia,0,2,0.0,3.0,20221106214650
31,Belgium,Canada,1,0,3.0,0.0,20221106214650
32,Belgium,Morocco,2,0,3.0,0.0,20221106214650
33,Croatia,Canada,1,0,3.0,0.0,20221106214650
34,Canada,Morocco,0,2,0.0,3.0,20221106214650
35,Croatia,Belgium,1,0,3.0,0.0,20221106214650
36,Switzerland,Cameroon,3,3,1.0,1.0,20221106214650
37,Brazil,Serbia,0,2,0.0,3.0,20221106214650
38,Cameroon,Serbia,1,3,0.0,3.0,20221106214650
39,Brazil,Switzerland,3,4,0.0,3.0,20221106214650
40,Cameroon,Brazil,1,2,0.0,3.0,20221106214650
41,Serbia,Switzerland,3,2,3.0,0.0,20221106214650
42,Uruguay,South Korea,3,3,1.0,1.0,20221106214650
43,Portugal,Ghana,3,1,3.0,0.0,20221106214650
44,South Korea,Ghana,0,0,1.0,1.0,20221106214650
45,Portugal,Uruguay,1,3,0.0,3.0,20221106214650
46,Ghana,Uruguay,0,2,0.0,3.0,20221106214650
47,South Korea,Portugal,3,2,3.0,0.0,20221106214650
