,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221108203507
1,Senegal,Netherlands,2,3,0.0,3.0,20221108203507
2,Qatar,Senegal,0,1,0.0,3.0,20221108203507
3,Netherlands,Ecuador,2,0,3.0,0.0,20221108203507
4,Ecuador,Senegal,3,2,3.0,0.0,20221108203507
5,Netherlands,Qatar,2,0,3.0,0.0,20221108203507
6,England,Iran,2,1,3.0,0.0,20221108203507
7,USA,Wales,3,1,3.0,0.0,20221108203507
8,Wales,Iran,1,1,1.0,1.0,20221108203507
9,England,USA,0,1,0.0,3.0,20221108203507
10,Iran,USA,0,2,0.0,3.0,20221108203507
11,Wales,England,1,1,1.0,1.0,20221108203507
12,Argentina,Saudi Arabia,3,0,3.0,0.0,20221108203507
13,Mexico,Poland,1,0,3.0,0.0,20221108203507
14,Poland,Saudi Arabia,0,0,1.0,1.0,20221108203507
15,Argentina,Mexico,0,0,1.0,1.0,20221108203507
16,Poland,Argentina,2,2,1.0,1.0,20221108203507
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221108203507
18,Denmark,Tunisia,1,1,1.0,1.0,20221108203507
19,France,Australia,1,0,3.0,0.0,20221108203507
20,Tunisia,Australia,3,3,1.0,1.0,20221108203507
21,France,Denmark,0,2,0.0,3.0,20221108203507
22,Australia,Denmark,2,3,0.0,3.0,20221108203507
23,Tunisia,France,0,2,0.0,3.0,20221108203507
24,Germany,Japan,2,1,3.0,0.0,20221108203507
25,Spain,Costa Rica,2,0,3.0,0.0,20221108203507
26,Japan,Costa Rica,2,1,3.0,0.0,20221108203507
27,Spain,Germany,1,1,1.0,1.0,20221108203507
28,Costa Rica,Germany,0,1,0.0,3.0,20221108203507
29,Japan,Spain,0,1,0.0,3.0,20221108203507
30,Morocco,Croatia,0,2,0.0,3.0,20221108203507
31,Belgium,Canada,3,1,3.0,0.0,20221108203507
32,Belgium,Morocco,2,2,1.0,1.0,20221108203507
33,Croatia,Canada,1,0,3.0,0.0,20221108203507
34,Canada,Morocco,0,2,0.0,3.0,20221108203507
35,Croatia,Belgium,1,0,3.0,0.0,20221108203507
36,Switzerland,Cameroon,3,3,1.0,1.0,20221108203507
37,Brazil,Serbia,2,1,3.0,0.0,20221108203507
38,Cameroon,Serbia,2,0,3.0,0.0,20221108203507
39,Brazil,Switzerland,3,3,1.0,1.0,20221108203507
40,Cameroon,Brazil,1,2,0.0,3.0,20221108203507
41,Serbia,Switzerland,3,2,3.0,0.0,20221108203507
42,Uruguay,South Korea,3,3,1.0,1.0,20221108203507
43,Portugal,Ghana,0,2,0.0,3.0,20221108203507
44,South Korea,Ghana,0,0,1.0,1.0,20221108203507
45,Portugal,Uruguay,0,1,0.0,3.0,20221108203507
46,Ghana,Uruguay,1,0,3.0,0.0,20221108203507
47,South Korea,Portugal,3,2,3.0,0.0,20221108203507
