,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106221140
1,Senegal,Netherlands,2,1,3.0,0.0,20221106221140
2,Qatar,Senegal,0,1,0.0,3.0,20221106221140
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106221140
4,Ecuador,Senegal,1,2,0.0,3.0,20221106221140
5,Netherlands,Qatar,2,0,3.0,0.0,20221106221140
6,England,Iran,2,1,3.0,0.0,20221106221140
7,USA,Wales,2,1,3.0,0.0,20221106221140
8,Wales,Iran,3,2,3.0,0.0,20221106221140
9,England,USA,0,0,1.0,1.0,20221106221140
10,Iran,USA,0,2,0.0,3.0,20221106221140
11,Wales,England,2,2,1.0,1.0,20221106221140
12,Argentina,Saudi Arabia,3,1,3.0,0.0,20221106221140
13,Mexico,Poland,1,2,0.0,3.0,20221106221140
14,Poland,Saudi Arabia,1,0,3.0,0.0,20221106221140
15,Argentina,Mexico,0,0,1.0,1.0,20221106221140
16,Poland,Argentina,2,2,1.0,1.0,20221106221140
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106221140
18,Denmark,Tunisia,3,0,3.0,0.0,20221106221140
19,France,Australia,3,0,3.0,0.0,20221106221140
20,Tunisia,Australia,3,3,1.0,1.0,20221106221140
21,France,Denmark,1,1,1.0,1.0,20221106221140
22,Australia,Denmark,0,2,0.0,3.0,20221106221140
23,Tunisia,France,0,2,0.0,3.0,20221106221140
24,Germany,Japan,2,1,3.0,0.0,20221106221140
25,Spain,Costa Rica,2,0,3.0,0.0,20221106221140
26,Japan,Costa Rica,2,1,3.0,0.0,20221106221140
27,Spain,Germany,1,1,1.0,1.0,20221106221140
28,Costa Rica,Germany,0,1,0.0,3.0,20221106221140
29,Japan,Spain,0,1,0.0,3.0,20221106221140
30,Morocco,Croatia,0,2,0.0,3.0,20221106221140
31,Belgium,Canada,1,0,3.0,0.0,20221106221140
32,Belgium,Morocco,2,0,3.0,0.0,20221106221140
33,Croatia,Canada,1,0,3.0,0.0,20221106221140
34,Canada,Morocco,0,2,0.0,3.0,20221106221140
35,Croatia,Belgium,1,0,3.0,0.0,20221106221140
36,Switzerland,Cameroon,0,2,0.0,3.0,20221106221140
37,Brazil,Serbia,0,2,0.0,3.0,20221106221140
38,Cameroon,Serbia,0,1,0.0,3.0,20221106221140
39,Brazil,Switzerland,3,3,1.0,1.0,20221106221140
40,Cameroon,Brazil,1,2,0.0,3.0,20221106221140
41,Serbia,Switzerland,3,2,3.0,0.0,20221106221140
42,Uruguay,South Korea,2,1,3.0,0.0,20221106221140
43,Portugal,Ghana,3,1,3.0,0.0,20221106221140
44,South Korea,Ghana,0,0,1.0,1.0,20221106221140
45,Portugal,Uruguay,1,3,0.0,3.0,20221106221140
46,Ghana,Uruguay,0,2,0.0,3.0,20221106221140
47,South Korea,Portugal,3,2,3.0,0.0,20221106221140
