,home_team,away_team,home_score,away_score,h_points,a_points,timestamp
0,Qatar,Ecuador,0,2,0.0,3.0,20221106212225
1,Senegal,Netherlands,0,2,0.0,3.0,20221106212225
2,Qatar,Senegal,0,2,0.0,3.0,20221106212225
3,Netherlands,Ecuador,2,1,3.0,0.0,20221106212225
4,Ecuador,Senegal,1,2,0.0,3.0,20221106212225
5,Netherlands,Qatar,5,0,3.0,0.0,20221106212225
6,England,Iran,0,2,0.0,3.0,20221106212225
7,USA,Wales,0,1,0.0,3.0,20221106212225
8,Wales,Iran,0,2,0.0,3.0,20221106212225
9,England,USA,3,2,3.0,0.0,20221106212225
10,Iran,USA,0,2,0.0,3.0,20221106212225
11,Wales,England,2,2,1.0,1.0,20221106212225
12,Argentina,Saudi Arabia,2,1,3.0,0.0,20221106212225
13,Mexico,Poland,1,2,0.0,3.0,20221106212225
14,Poland,Saudi Arabia,2,2,1.0,1.0,20221106212225
15,Argentina,Mexico,0,0,1.0,1.0,20221106212225
16,Poland,Argentina,2,2,1.0,1.0,20221106212225
17,Saudi Arabia,Mexico,1,1,1.0,1.0,20221106212225
18,Denmark,Tunisia,3,3,1.0,1.0,20221106212225
19,France,Australia,2,0,3.0,0.0,20221106212225
20,Tunisia,Australia,1,2,0.0,3.0,20221106212225
21,France,Denmark,1,1,1.0,1.0,20221106212225
22,Australia,Denmark,0,2,0.0,3.0,20221106212225
23,Tunisia,France,0,3,0.0,3.0,20221106212225
24,Germany,Japan,3,0,3.0,0.0,20221106212225
25,Spain,Costa Rica,1,0,3.0,0.0,20221106212225
26,Japan,Costa Rica,2,1,3.0,0.0,20221106212225
27,Spain,Germany,1,1,1.0,1.0,20221106212225
28,Costa Rica,Germany,0,1,0.0,3.0,20221106212225
29,Japan,Spain,0,1,0.0,3.0,20221106212225
30,Morocco,Croatia,0,2,0.0,3.0,20221106212225
31,Belgium,Canada,1,0,3.0,0.0,20221106212225
32,Belgium,Morocco,2,0,3.0,0.0,20221106212225
33,Croatia,Canada,1,0,3.0,0.0,20221106212225
34,Canada,Morocco,0,2,0.0,3.0,20221106212225
35,Croatia,Belgium,1,0,3.0,0.0,20221106212225
36,Switzerland,Cameroon,0,2,0.0,3.0,20221106212225
37,Brazil,Serbia,0,2,0.0,3.0,20221106212225
38,Cameroon,Serbia,1,3,0.0,3.0,20221106212225
39,Brazil,Switzerland,0,2,0.0,3.0,20221106212225
40,Cameroon,Brazil,1,2,0.0,3.0,20221106212225
41,Serbia,Switzerland,3,2,3.0,0.0,20221106212225
42,Uruguay,South Korea,0,2,0.0,3.0,20221106212225
43,Portugal,Ghana,5,1,3.0,0.0,20221106212225
44,South Korea,Ghana,0,0,1.0,1.0,20221106212225
45,Portugal,Uruguay,0,1,0.0,3.0,20221106212225
46,Ghana,Uruguay,0,2,0.0,3.0,20221106212225
47,South Korea,Portugal,3,2,3.0,0.0,20221106212225
